iter	RMSE
0	1.734322524
1	1.69006411
2	1.64925263
3	1.610837201
4	1.576637019
5	1.542695031
6	1.512642167
7	1.483513512
8	1.456474036
9	1.430459538
10	1.407135447
11	1.385507605
12	1.365983176
13	1.347595257
14	1.329716935
15	1.313220824
16	1.298761919
17	1.285558988
18	1.272718934
19	1.260407771
20	1.249345021
21	1.240160339
22	1.230199903
23	1.221070563
24	1.212964058
25	1.205110725
26	1.198131153
27	1.191102182
28	1.184981285
29	1.178522587
30	1.172717549
31	1.167307143
32	1.162447839
33	1.158396007
34	1.154379658
35	1.150630768
36	1.146626305
37	1.142458556
38	1.139318491
39	1.136376476
40	1.13319459
41	1.130230847
42	1.127411294
43	1.124899813
44	1.12279385
45	1.119990551
46	1.117475293
47	1.114982528
48	1.112644278
49	1.110743466
50	1.108562136
51	1.106440129
52	1.104872298
53	1.102690933
54	1.10036869
55	1.098447156
56	1.096604116
57	1.094725788
58	1.093186911
59	1.09149628
60	1.089968887
61	1.088688889
62	1.087119182
63	1.085935153
64	1.084487092
65	1.083390824
66	1.081964728
67	1.080792794
68	1.079484287
69	1.078486249
70	1.077670911
71	1.076580132
72	1.075534566
73	1.074449711
74	1.073273692
75	1.072243174
76	1.071487747
77	1.070277976
78	1.068890816
79	1.068136772
80	1.067139086
81	1.066325601
82	1.06558726
83	1.064549459
84	1.063710078
85	1.06296183
86	1.062052176
87	1.061389053
88	1.060548259
89	1.059916626
90	1.05909875
91	1.058093459
92	1.057431469
93	1.056694616
94	1.05546907
95	1.054563372
96	1.053434349
97	1.05263709
98	1.052069573
99	1.051169675
100	1.050358381
101	1.049865181
102	1.048741355
103	1.04820684
104	1.047417918
105	1.046619856
106	1.045915221
107	1.045096628
108	1.044607791
109	1.044055546
110	1.04352776
111	1.04287198
112	1.042157603
113	1.041457703
114	1.040884748
115	1.04053326
116	1.039931249
117	1.039391721
118	1.038623529
119	1.038108876
120	1.037408647
121	1.037057968
122	1.036639323
123	1.03593143
124	1.035365264
125	1.034849649
126	1.034549442
127	1.033911554
128	1.033247499
129	1.032506835
130	1.03187621
131	1.031123349
132	1.030337567
133	1.029790011
134	1.029341477
135	1.028990465
136	1.02853587
137	1.027850074
138	1.027454101
139	1.02703333
140	1.026735142
141	1.026202377
142	1.025824217
143	1.025232326
144	1.02473738
145	1.024265347
146	1.023338385
147	1.02269768
148	1.022181421
149	1.021715103
150	1.021251603
151	1.021094847
152	1.020696928
153	1.020334634
154	1.019975277
155	1.019496309
156	1.01907327
157	1.018368645
158	1.017906145
159	1.01771404
160	1.017219846
161	1.016769581
162	1.016396381
163	1.015889173
164	1.015279729
165	1.014680258
166	1.013876048
167	1.013298652
168	1.01288862
169	1.012338104
170	1.011827729
171	1.011538375
172	1.011063645
173	1.010605688
174	1.010188026
175	1.009842257
176	1.009525101
177	1.008652705
178	1.00815005
179	1.007583597
180	1.007068943
181	1.006579198
182	1.006315517
183	1.00565524
184	1.005058355
185	1.004787618
186	1.004296745
187	1.003457928
188	1.002874599
189	1.002584924
190	1.001883861
191	1.001490381
192	1.000668992
193	1.000013147
194	0.9994185729
195	0.9989982906
196	0.9987281263
197	0.998292898
198	0.9977806667
199	0.9973856855
200	0.9968317285
201	0.9966880752
202	0.9961305497
203	0.9955570681
204	0.9950620515
205	0.9946886681
206	0.9944187212
207	0.9939607548
208	0.9935339061
209	0.9932844969
210	0.9926738529
211	0.9919162187
212	0.9913649695
213	0.9911632457
214	0.9907116346
215	0.9903598351
216	0.9899583352
217	0.9897119454
218	0.9892342623
219	0.9891441957
220	0.9890628642
221	0.9884279005
222	0.9883559805
223	0.9877369581
224	0.9873437029
225	0.9868547361
226	0.9863552098
227	0.9857084104
228	0.9855118626
229	0.9854447135
230	0.9853344951
231	0.9851220856
