iter	Passed	Remaining
0	7	398942
1	13	335646
2	18	314145
3	23	293227
4	27	275279
5	31	264321
6	36	257893
7	40	251112
8	44	246411
9	48	242125
10	52	237976
11	56	234981
12	60	232528
13	64	230377
14	68	228404
15	72	226747
16	77	227107
17	81	226690
18	85	225826
19	89	224626
20	93	223574
21	97	222351
22	102	222009
23	106	221818
24	110	220936
25	114	220454
26	118	220057
27	122	219216
28	126	218745
29	130	218194
30	135	217745
31	139	217401
32	143	216939
33	147	217306
34	152	217411
35	156	217194
36	160	216573
37	164	216398
38	168	216084
39	173	216137
40	177	216322
41	181	215881
42	186	216217
43	190	216614
44	195	217106
45	199	216913
46	204	217713
47	208	217389
48	213	217391
49	217	217512
50	224	219436
51	229	220172
52	237	223447
53	241	223376
54	249	226478
55	254	226836
56	259	227580
57	266	229157
58	270	229066
59	276	230075
60	281	230118
61	287	231478
62	291	231229
63	297	232302
64	303	232817
65	310	234900
66	316	236158
67	322	236757
68	326	236282
69	332	237419
70	337	237566
71	343	238241
72	349	238792
73	353	238480
74	358	238308
75	361	237713
76	366	237488
77	370	237174
78	375	237025
79	379	237025
80	384	236886
81	388	236557
82	392	236176
83	396	235685
84	400	235239
85	404	234881
86	408	234518
87	412	234220
88	417	233862
89	421	233472
90	424	233046
91	429	232724
92	432	232334
93	436	231998
94	441	231915
95	445	231744
96	450	231706
97	454	231572
98	458	231190
99	462	230952
100	467	230746
101	471	230537
102	476	230716
103	481	230809
104	485	230682
105	489	230504
106	493	230184
107	497	229902
108	502	229815
109	507	230269
110	513	230623
111	517	230561
112	521	230370
113	525	230098
114	529	229867
115	534	229674
116	540	230292
117	545	230459
118	550	230589
119	555	230753
120	560	230849
121	564	230842
122	568	230701
123	573	230507
124	576	230188
125	583	230968
126	589	231380
127	593	231378
128	599	231706
129	603	231658
130	608	231818
131	614	232337
132	620	232825
133	625	232636
134	629	232453
135	635	233171
136	640	232993
137	646	233532
138	651	233542
139	656	233733
140	660	233649
141	665	233709
142	670	233655
143	675	233805
144	680	233890
145	684	233678
146	688	233467
147	693	233469
148	697	233332
149	701	233168
150	705	233011
151	710	233034
152	714	232757
153	718	232593
154	722	232348
155	726	232234
156	730	232018
157	735	231862
158	739	231730
159	743	231527
160	747	231467
161	753	231806
162	761	232712
163	766	232824
164	770	232721
165	774	232522
166	778	232290
167	782	232072
168	786	231832
169	790	231583
170	794	231463
171	798	231281
172	802	231092
173	806	230992
174	810	230835
175	815	230722
176	819	230746
177	824	230779
178	828	230660
179	833	230644
180	837	230549
181	841	230358
182	845	230210
183	850	230159
184	854	230152
185	860	230551
186	867	230964
187	871	231028
188	877	231161
189	882	231467
190	887	231437
191	893	231841
192	900	232382
193	906	232746
194	911	232706
195	916	232940
196	923	233354
197	928	233528
198	934	233750
199	940	234207
200	945	234326
201	950	234370
202	954	234157
203	958	233945
204	962	233827
205	966	233698
206	970	233535
207	975	233483
208	980	233505
209	986	233825
210	990	233733
211	994	233551
212	998	233375
213	1002	233162
214	1006	233021
215	1010	232892
216	1014	232795
217	1018	232628
218	1022	232437
219	1026	232237
220	1030	232049
221	1034	231957
